"","ID","plotref","Site","Country","Plot","Genus","Species","MeanLL","MeanSLA","MeanLDMC","MeanLA","MaxH","MaxLS","site_ID","GRAZ","ARIDITY.v3","sp_fullname"
"222",41,"13_2","Fowlers","Australia",2,"Sclerolaena","patenticuspis",0.872,107.2391986,NA,0.111714359,10,340,13,2,0.9008,"Sclerolaena patenticuspis"
"226",42,"13_3","Fowlers","Australia",3,"Sclerolaena","brachyptera",1.193928571,155.7473894,NA,0.161613524,9,209,13,1,0.8989,"Sclerolaena brachyptera"
"228",42,"13_3","Fowlers","Australia",3,"Austrodanthonia","caespitosa",7.5425,98.92273229,NA,0.249352679,34,56,13,1,0.8989,"Austrodanthonia caespitosa"
"229",42,"13_3","Fowlers","Australia",3,"Sclerolaena","eriacantha",18.9725,109.7242309,NA,0.20749363,12,130,13,1,0.8989,"Sclerolaena eriacantha"
"230",42,"13_3","Fowlers","Australia",3,"Sclerolaena","lanicuspis",1.100714286,176.6696094,NA,0.117622236,18,936,13,1,0.8989,"Sclerolaena lanicuspis"
"231",42,"13_3","Fowlers","Australia",3,"Atriplex","vesicaria",2.01125,91.66018205,NA,0.563421697,44,5775,13,1,0.8989,"Atriplex vesicaria"
"235",42,"13_3","Fowlers","Australia",3,"Lotus","cruentus",1.124411765,151.4208599,NA,0.246785443,10.5,195,13,1,0.8989,"Lotus cruentus"
"237",42,"13_3","Fowlers","Australia",3,"Austrostipa","scabra",NA,NA,NA,NA,NA,NA,13,1,0.8989,"Austrostipa scabra"
"238",42,"13_3","Fowlers","Australia",3,"Eragrostis","setifolia",3.205,97.85699911,NA,0.139222222,8,121,13,1,0.8989,"Eragrostis setifolia"
"240",42,"13_3","Fowlers","Australia",3,"Sclerolaena","ventricosa",0.9165,171.6694395,NA,0.120215407,17,180,13,1,0.8989,"Sclerolaena ventricosa"
"241",42,"13_3","Fowlers","Australia",3,"Sclerolaena","divaricata",0.731,147.1208742,NA,0.076158233,23,798,13,1,0.8989,"Sclerolaena divaricata"
"242",43,"13_4","Fowlers","Australia",4,"Maireana","turbinata",1.13,98.13403417,NA,0.152408163,24,2160,13,0,0.9014,"Maireana turbinata"
"244",43,"13_4","Fowlers","Australia",4,"Sclerolaena","ventricosa",1.175416667,172.7484281,NA,0.190534653,19,1330,13,0,0.9014,"Sclerolaena ventricosa"
"245",43,"13_4","Fowlers","Australia",4,"Enteropogon","acicularis",9.12,161.1511752,NA,1.2051875,24,340,13,0,0.9014,"Enteropogon acicularis"
"246",43,"13_4","Fowlers","Australia",4,"Sclerolaena","brachyptera",1.295833333,188.9271135,NA,0.251832293,50,9000,13,0,0.9014,"Sclerolaena brachyptera"
"247",43,"13_4","Fowlers","Australia",4,"Minuria","cunninghamii",2.285,141.143644,NA,0.188580471,33,1470,13,0,0.9014,"Minuria cunninghamii"
"255",43,"13_4","Fowlers","Australia",4,"Atriplex","vesicaria",1.815555556,113.3582376,NA,0.476790546,56,11554,13,0,0.9014,"Atriplex vesicaria"
"259",44,"14_1","Hay site","Australia",1,"Maireana","aphylla",5.014545455,32.97209241,NA,0.470389214,60,13560,14,3,0.8087,"Maireana aphylla"
"260",44,"14_1","Hay site","Australia",1,"Sclerolaena","diacantha",1.06,176.5306122,NA,0.140813953,2.5,180,14,3,0.8087,"Sclerolaena diacantha"
"261",44,"14_1","Hay site","Australia",1,"Sclerolaena","brachyptera",1.2875,151.1238692,NA,0.156585342,8,816,14,3,0.8087,"Sclerolaena brachyptera"
"263",44,"14_1","Hay site","Australia",1,"Einadia","nutans",NA,NA,NA,NA,NA,NA,14,3,0.8087,"Einadia nutans"
"264",44,"14_1","Hay site","Australia",1,"Atriplex","vesicaria",NA,NA,NA,NA,NA,NA,14,3,0.8087,"Atriplex vesicaria"
"266",44,"14_1","Hay site","Australia",1,"Nitraria","billardierei",1.53125,64.74681106,NA,0.380763168,90,111630,14,3,0.8087,"Nitraria billardierei"
"267",45,"14_2","Hay site","Australia",2,"Sida","trichopoda",0.975,129.8681299,NA,0.105085526,27,1247,14,2,0.8097,"Sida trichopoda"
"268",45,"14_2","Hay site","Australia",2,"Austrostipa","scabra",10.495,140.966584,NA,0.746388384,20,266,14,2,0.8097,"Austrostipa scabra"
"269",45,"14_2","Hay site","Australia",2,"Sclerolaena","brachyptera",1.183571429,137.2535617,NA,0.163758971,8,1920,14,2,0.8097,"Sclerolaena brachyptera"
"270",45,"14_2","Hay site","Australia",2,"Austrodanthonia","caespitosa",10.3175,155.30597,NA,1.802111264,18,221,14,2,0.8097,"Austrodanthonia caespitosa"
"271",45,"14_2","Hay site","Australia",2,"Craspedia","sp.",NA,NA,NA,NA,NA,NA,14,2,0.8097,"Craspedia sp."
"273",45,"14_2","Hay site","Australia",2,"Sporobolus","carolii",6.59,205.3005877,NA,0.770626013,11,432,14,2,0.8097,"Sporobolus carolii"
"274",45,"14_2","Hay site","Australia",2,"Maireana","trichoptera",0.745,101.6231884,NA,0.096054795,30,7992,14,2,0.8097,"Maireana trichoptera"
"276",45,"14_2","Hay site","Australia",2,"Chloris","truncata",NA,NA,NA,NA,NA,NA,14,2,0.8097,"Chloris truncata"
"279",45,"14_2","Hay site","Australia",2,"Maireana","aphylla",6.612,43.48320684,NA,0.697271313,37,4032,14,2,0.8097,"Maireana aphylla"
"282",45,"14_2","Hay site","Australia",2,"Einadia","nutans",1.595,151.8981481,NA,0.273416667,5,88,14,2,0.8097,"Einadia nutans"
"283",45,"14_2","Hay site","Australia",2,"Atriplex","semibaccata",1.618125,108.680604,NA,0.244632917,24,900,14,2,0.8097,"Atriplex semibaccata"
"284",45,"14_2","Hay site","Australia",2,"Sclerolaena","diacantha",1.47,116.0864619,NA,0.188962963,18,242,14,2,0.8097,"Sclerolaena diacantha"
"285",45,"14_2","Hay site","Australia",2,"Sclerolaena","tricuspis",1.433333333,107.5130634,NA,0.191912036,27,594,14,2,0.8097,"Sclerolaena tricuspis"
"287",46,"14_3","Hay site","Australia",3,"Atriplex","vesicaria",1.257777778,105.3328195,NA,0.198539503,63,3600,14,1,0.8089,"Atriplex vesicaria"
"288",46,"14_3","Hay site","Australia",3,"Maireana","aphylla",6.733333333,38.94312333,NA,0.732831871,45,3249,14,1,0.8089,"Maireana aphylla"
"290",46,"14_3","Hay site","Australia",3,"Einadia","nutans",1.44625,177.9129561,NA,0.334796509,24,119,14,1,0.8089,"Einadia nutans"
"292",46,"14_3","Hay site","Australia",3,"Paspalidium","constrictum",7.497083333,201.1739224,NA,1.309995526,27,360,14,1,0.8089,"Paspalidium constrictum"
"294",46,"14_3","Hay site","Australia",3,"Sclerolaena","diacantha",1.553333333,70.51188995,NA,0.208755508,13,741,14,1,0.8089,"Sclerolaena diacantha"
"296",46,"14_3","Hay site","Australia",3,"Austrodanthonia","caespitosa",7.51,118.7627339,NA,0.594654762,7,81,14,1,0.8089,"Austrodanthonia caespitosa"
"297",46,"14_3","Hay site","Australia",3,"Sclerolaena","brachyptera",1.27875,124.5858863,NA,0.220271658,10,2268,14,1,0.8089,"Sclerolaena brachyptera"
"298",47,"14_4","Hay site","Australia",4,"Austrodanthonia","caespitosa",NA,NA,NA,NA,NA,NA,14,0,0.8087,"Austrodanthonia caespitosa"
"299",47,"14_4","Hay site","Australia",4,"Sporobolus","carolii",NA,NA,NA,NA,NA,NA,14,0,0.8087,"Sporobolus carolii"
"301",47,"14_4","Hay site","Australia",4,"Atriplex","vesicaria",1.571,90.88115975,NA,0.419061265,81,24640,14,0,0.8087,"Atriplex vesicaria"
"302",47,"14_4","Hay site","Australia",4,"Austrostipa","scabra",NA,NA,NA,NA,NA,NA,14,0,0.8087,"Austrostipa scabra"
"309",48,"15_1","Nyngam","Australia",1,"Atriplex","vesicaria",2.33,184.8862547,NA,1.008899736,58,9373,15,3,0.7591,"Atriplex vesicaria"
"310",48,"15_1","Nyngam","Australia",1,"Enteropogon","acicularis",2.230526316,143.8577813,NA,0.542101643,80,19026,15,3,0.7591,"Enteropogon acicularis"
"314",48,"15_1","Nyngam","Australia",1,"Enchylaena","tomentosa",1.814090909,165.6739974,NA,0.237079529,25,3770,15,3,0.7591,"Enchylaena tomentosa"
"316",49,"15_2","Nyngam","Australia",2,"Atriplex","vesicaria",2.604,117.8618405,NA,0.835173262,72,7480,15,2,0.7603,"Atriplex vesicaria"
"321",49,"15_2","Nyngam","Australia",2,"Paspalidium","constrictum",2.084285714,191.3690046,NA,0.546707671,22,304,15,2,0.7603,"Paspalidium constrictum"
"324",49,"15_2","Nyngam","Australia",2,"Sporobolus","sp.",2.3,185.6358605,NA,0.774830966,11,210,15,2,0.7603,"Sporobolus sp."
"325",49,"15_2","Nyngam","Australia",2,"Enteropogon","acicularis",2.192,180.87177,NA,0.594798021,28,725,15,2,0.7603,"Enteropogon acicularis"
"326",49,"15_2","Nyngam","Australia",2,"Portulaca","oleracea",NA,NA,NA,NA,NA,NA,15,2,0.7603,"Portulaca oleracea"
"329",50,"15_3","Nyngam","Australia",3,"Opuntia","aurantiaca",9.445,11.60501746,NA,5.427666667,26,775,15,1,0.7591,"Opuntia aurantiaca"
"330",50,"15_3","Nyngam","Australia",3,"Atriplex","vesicaria",2.49775,146.2911803,NA,0.886027266,83,29736,15,1,0.7591,"Atriplex vesicaria"
"331",50,"15_3","Nyngam","Australia",3,"Cheilanthes","sieberi",2.435,185.8053087,NA,0.826728571,20,483,15,1,0.7591,"Cheilanthes sieberi"
"333",50,"15_3","Nyngam","Australia",3,"Enteropogon","acicularis",2.649,234.8261902,NA,0.671097756,23,48,15,1,0.7591,"Enteropogon acicularis"
"334",50,"15_3","Nyngam","Australia",3,"Fimbristylis","dichotoma",2.265,208.6222793,NA,0.120817877,13,117,15,1,0.7591,"Fimbristylis dichotoma"
"335",83,"25_1","Bano nuevo","Chile",1,"Taraxacum","officinale",NA,NA,NA,NA,NA,NA,25,3,0.4952,"Taraxacum officinale"
"336",83,"25_1","Bano nuevo","Chile",1,"Calceolaria","biflora",NA,NA,NA,NA,NA,NA,25,3,0.4952,"Calceolaria biflora"
"337",83,"25_1","Bano nuevo","Chile",1,"Cerastium","arvense",0.784,180.8916429,0.343217754,0.109808333,8,72,25,3,0.4952,"Cerastium arvense"
"338",83,"25_1","Bano nuevo","Chile",1,"Festuca","pyrogea",6.571666667,107.3136782,0.374921613,0.606004167,53,1034,25,3,0.4952,"Festuca pyrogea"
"339",83,"25_1","Bano nuevo","Chile",1,"Festuca","pallescens",13.71878947,105.041576,0.454770935,0.512777342,19,396,25,3,0.4952,"Festuca pallescens"
"341",83,"25_1","Bano nuevo","Chile",1,"Acaena","pinnatifida",5.602,79.0638324,0.336530702,3.711,40,986,25,3,0.4952,"Acaena pinnatifida"
"344",83,"25_1","Bano nuevo","Chile",1,"Nassauvia","darwinii",2.099,67.21923329,0.401725283,0.440994728,6,90,25,3,0.4952,"Nassauvia darwinii"
"345",83,"25_1","Bano nuevo","Chile",1,"Acaena","integerrima",2.081058824,70.74836788,0.437137069,0.337320038,8,540,25,3,0.4952,"Acaena integerrima"
"346",83,"25_1","Bano nuevo","Chile",1,"Viola","maculata",NA,NA,NA,NA,NA,NA,25,3,0.4952,"Viola maculata"
"347",84,"25_2","Bano nuevo","Chile",2,"Viola","maculata",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Viola maculata"
"348",84,"25_2","Bano nuevo","Chile",2,"Cerastium","arvense",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Cerastium arvense"
"350",84,"25_2","Bano nuevo","Chile",2,"Festuca","pyrogea",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Festuca pyrogea"
"352",84,"25_2","Bano nuevo","Chile",2,"Mulinum","spinosum",2.173,38.6322687,0.390747,0.873041667,27,1564,25,2,0.5028,"Mulinum spinosum"
"353",84,"25_2","Bano nuevo","Chile",2,"Festuca","pallescens",14.19,102.1615002,0.454805427,0.241762318,23,1292,25,2,0.5028,"Festuca pallescens"
"354",84,"25_2","Bano nuevo","Chile",2,"Taraxacum","officinale",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Taraxacum officinale"
"355",84,"25_2","Bano nuevo","Chile",2,"Senecio","sericeo-nitens",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Senecio sericeo-nitens"
"356",84,"25_2","Bano nuevo","Chile",2,"Calceolaria","biflora",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Calceolaria biflora"
"358",84,"25_2","Bano nuevo","Chile",2,"Nassauvia","darwinii",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Nassauvia darwinii"
"359",84,"25_2","Bano nuevo","Chile",2,"Acaena","pinnatifida",NA,NA,NA,NA,NA,NA,25,2,0.5028,"Acaena pinnatifida"
"360",84,"25_2","Bano nuevo","Chile",2,"Acaena","integerrima",2.319666667,78.39941381,0.411982318,0.299202381,8,240,25,2,0.5028,"Acaena integerrima"
"361",85,"25_3","Bano nuevo","Chile",3,"Acaena","integerrima",2.659,74.61465232,0.397130612,0.472469737,7,216,25,1,0.515,"Acaena integerrima"
"363",85,"25_3","Bano nuevo","Chile",3,"Senecio","sericeo-nitens",4.206,131.3924136,0.250368649,0.463571429,14,864,25,1,0.515,"Senecio sericeo-nitens"
"364",85,"25_3","Bano nuevo","Chile",3,"Carex","gayana",NA,NA,NA,NA,NA,NA,25,1,0.515,"Carex gayana"
"365",85,"25_3","Bano nuevo","Chile",3,"Festuca","pallescens",16.05263158,109.04842,0.440886493,0.296166727,33,1120,25,1,0.515,"Festuca pallescens"
"366",85,"25_3","Bano nuevo","Chile",3,"Lathyrus","magellanicus",1.698,117.7912702,0.25927551,0.576241905,13,110,25,1,0.515,"Lathyrus magellanicus"
"367",85,"25_3","Bano nuevo","Chile",3,"Taraxacum","officinale",7.876,179.8856189,0.193849865,15.4474,15,195,25,1,0.515,"Taraxacum officinale"
"368",85,"25_3","Bano nuevo","Chile",3,"Leucheria","candidissima",NA,NA,NA,NA,NA,NA,25,1,0.515,"Leucheria candidissima"
"369",85,"25_3","Bano nuevo","Chile",3,"Mulinum","spinosum",2.097222222,42.94552186,0.342956961,0.856751852,35,4307,25,1,0.515,"Mulinum spinosum"
"370",85,"25_3","Bano nuevo","Chile",3,"Acaena","pinnatifida",NA,NA,NA,NA,NA,NA,25,1,0.515,"Acaena pinnatifida"
"371",85,"25_3","Bano nuevo","Chile",3,"Nassauvia","darwinii",2.78,59.4866288,0.383313195,0.680650794,3.5,6,25,1,0.515,"Nassauvia darwinii"
"372",85,"25_3","Bano nuevo","Chile",3,"Calceolaria","biflora",2.854,108.3760274,0.284271717,2.0529,21,384,25,1,0.515,"Calceolaria biflora"
"373",85,"25_3","Bano nuevo","Chile",3,"Cerastium","arvense",NA,NA,NA,NA,NA,NA,25,1,0.515,"Cerastium arvense"
"374",85,"25_3","Bano nuevo","Chile",3,"Viola","maculata",NA,NA,NA,NA,NA,NA,25,1,0.515,"Viola maculata"
"375",85,"25_3","Bano nuevo","Chile",3,"Festuca","pyrogea",NA,NA,NA,NA,NA,NA,25,1,0.515,"Festuca pyrogea"
"376",85,"25_3","Bano nuevo","Chile",3,"Hypochaeris","incana",NA,NA,NA,NA,NA,NA,25,1,0.515,"Hypochaeris incana"
"377",85,"25_3","Bano nuevo","Chile",3,"Quinchamalium","chilense",NA,NA,NA,NA,NA,NA,25,1,0.515,"Quinchamalium chilense"
"379",85,"25_3","Bano nuevo","Chile",3,"Holcus","lanatus",NA,NA,NA,NA,NA,NA,25,1,0.515,"Holcus lanatus"
"382",93,"28_1","Etuoke","China",1,"Juniperus","formosana",0.937,149.0343635,0.444246857,0.133597845,13,300,28,3,0.8074,"Juniperus formosana"
"390",94,"28_2","Etuoke","China",2,"Tribulus","terrestris",NA,NA,NA,NA,NA,NA,28,2,0.8113,"Tribulus terrestris"
"393",94,"28_2","Etuoke","China",2,"Artemisia","desertorum",2.6625,128.4603009,0.3130773,0.181728715,80,16200,28,2,0.8113,"Artemisia desertorum"
"397",95,"28_3","Etuoke","China",3,"Oxytropis","psammocharis",NA,NA,NA,NA,NA,NA,28,1,0.8095,"Oxytropis psammocharis"
"398",95,"28_3","Etuoke","China",3,"Artemisia","desertorum",2.979,137.6026988,0.308937067,0.175546026,80,9568,28,1,0.8095,"Artemisia desertorum"
"401",95,"28_3","Etuoke","China",3,"Juniperus","formosana",0.94,126.001993,0.451128568,0.067342031,18,150,28,1,0.8095,"Juniperus formosana"
"402",95,"28_3","Etuoke","China",3,"Salsola","ruthenica",NA,NA,NA,NA,NA,NA,28,1,0.8095,"Salsola ruthenica"
"405",96,"28_4","Etuoke","China",4,"Artemisia","scoparia",NA,NA,NA,NA,NA,NA,28,0,0.8133,"Artemisia scoparia"
"406",96,"28_4","Etuoke","China",4,"Artemisia","desertorum",2.968125,108.8231527,0.345721956,0.173494852,77,18018,28,0,0.8133,"Artemisia desertorum"
"415",96,"28_4","Etuoke","China",4,"Cynanchum","hancockianum",NA,NA,NA,NA,NA,NA,28,0,0.8133,"Cynanchum hancockianum"
"417",96,"28_4","Etuoke","China",4,"Juniperus","formosana",0.99,169.5231788,0.212676056,0.102392,29,1575,28,0,0.8133,"Juniperus formosana"
"418",97,"29_1","Wuxing","China",1,"Oxytropis","psammocharis",NA,NA,NA,NA,NA,NA,29,3,0.7721,"Oxytropis psammocharis"
"420",97,"29_1","Wuxing","China",1,"Cynanchum","hancockianum",7.533333333,62.04834134,0.26771076,4.980944444,46,3132,29,3,0.7721,"Cynanchum hancockianum"
"422",97,"29_1","Wuxing","China",1,"Salsola","ruthenica",NA,NA,NA,NA,NA,NA,29,3,0.7721,"Salsola ruthenica"
"423",97,"29_1","Wuxing","China",1,"Euphorbia","esula",NA,NA,NA,NA,NA,NA,29,3,0.7721,"Euphorbia esula"
"425",97,"29_1","Wuxing","China",1,"Artemisia","scoparia",NA,NA,NA,NA,NA,NA,29,3,0.7721,"Artemisia scoparia"
"426",97,"29_1","Wuxing","China",1,"Cirsium","japonicum",NA,NA,NA,NA,NA,NA,29,3,0.7721,"Cirsium japonicum"
"428",97,"29_1","Wuxing","China",1,"Achnatherum","splendens",37,68.8423184,0.476664047,2.07957619,250,42000,29,3,0.7721,"Achnatherum splendens"
"430",98,"29_2","Wuxing","China",2,"Salsola","ruthenica",NA,NA,NA,NA,NA,NA,29,2,0.7721,"Salsola ruthenica"
"431",98,"29_2","Wuxing","China",2,"Euphorbia","esula",NA,NA,NA,NA,NA,NA,29,2,0.7721,"Euphorbia esula"
"433",98,"29_2","Wuxing","China",2,"Artemisia","scoparia",NA,NA,NA,NA,NA,NA,29,2,0.7721,"Artemisia scoparia"
"436",98,"29_2","Wuxing","China",2,"Cirsium","japonicum",NA,NA,NA,NA,NA,NA,29,2,0.7721,"Cirsium japonicum"
"438",98,"29_2","Wuxing","China",2,"Achnatherum","splendens",44.75,64.52059649,0.5112167,2.0600375,140,24000,29,2,0.7721,"Achnatherum splendens"
"441",98,"29_2","Wuxing","China",2,"Cynanchum","hancockianum",5,80.63086389,0.262940096,2.314805556,50,442,29,2,0.7721,"Cynanchum hancockianum"
"443",99,"29_3","Wuxing","China",3,"Achnatherum","splendens",48.64705882,80.68335101,0.481377014,2.307163025,170,16500,29,1,0.7721,"Achnatherum splendens"
"447",100,"30_1","Yuyang","China",1,"Cynanchum","hancockianum",NA,NA,NA,NA,NA,NA,30,3,0.7493,"Cynanchum hancockianum"
"449",100,"30_1","Yuyang","China",1,"Caragana","korshinskii",0.835,117.7193878,0.398706897,0.226169856,170,58692,30,3,0.7493,"Caragana korshinskii"
"454",101,"30_2","Yuyang","China",2,"Caragana","korshinskii",0.86,109.8588981,0.39288307,0.209766204,64,32300,30,2,0.7493,"Caragana korshinskii"
"457",102,"30_3","Yuyang","China",3,"Cynanchum","hancockianum",6.5,55.32912534,0.27725,2.4544,26,800,30,1,0.7487,"Cynanchum hancockianum"
"458",102,"30_3","Yuyang","China",3,"Ixeridium","chinense",NA,NA,NA,NA,NA,NA,30,1,0.7487,"Ixeridium chinense"
"464",103,"30_4","Yuyang","China",4,"Caragana","korshinskii",1.925,97.10830936,0.395895575,0.456724247,162,58050,30,0,0.7482,"Caragana korshinskii"
"469",103,"30_4","Yuyang","China",4,"Ixeridium","chinense",NA,NA,NA,NA,NA,NA,30,0,0.7482,"Ixeridium chinense"
"471",114,"34_2","Muri","China",2,"Seriphidium","borotalense",1.86,136.3685113,0.227092887,0.259383603,NA,NA,34,2,0.9446,"Seriphidium borotalense"
"472",114,"34_2","Muri","China",2,"Stipa","glareosa",NA,NA,NA,NA,NA,NA,34,2,0.9446,"Stipa glareosa"
"473",114,"34_2","Muri","China",2,"Kochia","prostrata",1.3825,123.8885093,0.452930234,0.168942606,18,576,34,2,0.9446,"Kochia prostrata"
"474",114,"34_2","Muri","China",2,"Ceratoides","latens",1.913333333,107.470477,0.341093076,0.338316927,17,480,34,2,0.9446,"Ceratoides latens"
"475",114,"34_2","Muri","China",2,"Atraphaxis","spinosa",NA,NA,NA,NA,NA,NA,34,2,0.9446,"Atraphaxis spinosa"
"477",115,"34_3","Muri","China",3,"Haloxylon","ammodendron",1.25,75.85451977,0.219927119,0.069962084,17,608,34,1,0.9434,"Haloxylon ammodendron"
"478",115,"34_3","Muri","China",3,"Ferula","sinkiangensis",NA,NA,NA,NA,25,1248,34,1,0.9434,"Ferula sinkiangensis"
"479",115,"34_3","Muri","China",3,"Petrosimonia","sibirica",3.31,102.4259259,0.182432432,0.192048611,30,900,34,1,0.9434,"Petrosimonia sibirica"
"480",115,"34_3","Muri","China",3,"Stipa","glareosa",12.69,78.15107595,0.513808315,0.434317909,26,960,34,1,0.9434,"Stipa glareosa"
"481",115,"34_3","Muri","China",3,"Anabasis","aphylla",1.1575,61.48988188,0.274292228,0.094300667,NA,NA,34,1,0.9434,"Anabasis aphylla"
"482",115,"34_3","Muri","China",3,"Ceratoides","latens",NA,NA,NA,NA,NA,NA,34,1,0.9434,"Ceratoides latens"
"483",115,"34_3","Muri","China",3,"Seriphidium","borotalense",2.212857143,107.9986187,0.373488869,0.319246665,NA,NA,34,1,0.9434,"Seriphidium borotalense"
"485",134,"41_1","Alikhani","Iran",1,"Artemisia","sieberi",1.669,89.11567824,0.420651647,0.450992917,40,1156,41,3,0.8256,"Artemisia sieberi"
"486",134,"41_1","Alikhani","Iran",1,"Acanthophyllum","sp.",NA,NA,NA,NA,NA,NA,41,3,0.8256,"Acanthophyllum sp."
"488",134,"41_1","Alikhani","Iran",1,"Lappula","barbata",0.97,149.2150532,0.531109876,0.123149028,22,16,41,3,0.8256,"Lappula barbata"
"492",134,"41_1","Alikhani","Iran",1,"Stipa","lessingiana",10.92888889,39.93600067,0.687044762,0.433686927,18,64,41,3,0.8256,"Stipa lessingiana"
"496",134,"41_1","Alikhani","Iran",1,"Salsola","arbusculiformis",1.506666667,44.85194004,0.246290542,0.242583333,4,25,41,3,0.8256,"Salsola arbusculiformis"
"500",135,"41_2","Alikhani","Iran",2,"Artemisia","sieberi",1.2015,84.72421952,0.32134971,0.231775833,42,1677,41,2,0.8259,"Artemisia sieberi"
"502",135,"41_2","Alikhani","Iran",2,"Salsola","arbusculiformis",1.878666667,21.96368669,0.240374418,0.23933,28,1806,41,2,0.8259,"Salsola arbusculiformis"
"503",135,"41_2","Alikhani","Iran",2,"Stipa","lessingiana",12.41571429,42.17777395,0.57100947,0.660069133,35,360,41,2,0.8259,"Stipa lessingiana"
"505",135,"41_2","Alikhani","Iran",2,"Lappula","barbata",0.932727273,108.9482794,0.464723381,0.099265476,50,80,41,2,0.8259,"Lappula barbata"
"508",135,"41_2","Alikhani","Iran",2,"Cousinia","arctotidifolia",6.28,62.00635597,0.362800878,3.64736,43,252,41,2,0.8259,"Cousinia arctotidifolia"
"510",135,"41_2","Alikhani","Iran",2,"Nonea","caspica",3.13,36.875,0.372670807,0.177,41,40,41,2,0.8259,"Nonea caspica"
"511",136,"41_3","Alikhani","Iran",3,"Lappula","barbata",0.686,89.51,0.397091717,0.05111,45,9,41,1,0.8259,"Lappula barbata"
"515",136,"41_3","Alikhani","Iran",3,"Centaurea","sp.",NA,NA,NA,NA,NA,NA,41,1,0.8259,"Centaurea sp."
"516",136,"41_3","Alikhani","Iran",3,"Stipa","lessingiana",11.22466667,43.16975981,0.651516759,0.606404444,48,1400,41,1,0.8259,"Stipa lessingiana"
"517",136,"41_3","Alikhani","Iran",3,"Acantholimon","sp.",2.85,21.78723404,0.645604396,0.2048,7,6,41,1,0.8259,"Acantholimon sp."
"518",136,"41_3","Alikhani","Iran",3,"Salsola","arbusculiformis",1.946666667,15.02941376,0.391204499,0.299533333,65,3900,41,1,0.8259,"Salsola arbusculiformis"
"519",136,"41_3","Alikhani","Iran",3,"Artemisia","sieberi",1.43,76.47322444,0.402511653,0.286154622,53,2255,41,1,0.8259,"Artemisia sieberi"
"520",137,"42_1","Lohondor","Iran",1,"Agropyron","trichophorum",NA,NA,NA,NA,NA,NA,42,3,0.8177,"Agropyron trichophorum"
"521",137,"42_1","Lohondor","Iran",1,"Verbascum","speciosum",6.47,61.18730159,0.39375,6.424666667,8,120,42,3,0.8177,"Verbascum speciosum"
"522",137,"42_1","Lohondor","Iran",1,"Convolvulus","commutatus",1.775714286,148.1607315,0.261841526,0.176166327,24,30,42,3,0.8177,"Convolvulus commutatus"
"524",137,"42_1","Lohondor","Iran",1,"Medicago","sativa",0.59,242.6666667,0.326984127,0.074261905,60,4,42,3,0.8177,"Medicago sativa"
"526",137,"42_1","Lohondor","Iran",1,"Stachys","turcomanica",3.566,127.0196537,0.436137351,0.551374286,13,238,42,3,0.8177,"Stachys turcomanica"
"527",137,"42_1","Lohondor","Iran",1,"Achillea","biebersteinii",4.174,91.72267974,0.464954771,1.029656667,6,18,42,3,0.8177,"Achillea biebersteinii"
"528",137,"42_1","Lohondor","Iran",1,"Artemisia","sieberi",1.0275,127.9972222,0.478479853,0.174084524,18,240,42,3,0.8177,"Artemisia sieberi"
"529",137,"42_1","Lohondor","Iran",1,"Cousinia","arctotidifolia",NA,NA,NA,NA,NA,NA,42,3,0.8177,"Cousinia arctotidifolia"
"530",137,"42_1","Lohondor","Iran",1,"Rhamnus","pallasii",1.826666667,80.03540073,0.485425888,0.44062037,56,18200,42,3,0.8177,"Rhamnus pallasii"
"531",137,"42_1","Lohondor","Iran",1,"Festuca","valesiaca",11.073,57.9880323,0.55840643,0.533075,24,340,42,3,0.8177,"Festuca valesiaca"
"532",137,"42_1","Lohondor","Iran",1,"Galium","tenuissimum",0.974545455,118.9922865,0.328791849,0.039086977,24,120,42,3,0.8177,"Galium tenuissimum"
"533",137,"42_1","Lohondor","Iran",1,"Stipa","lessingiana",11.19684211,36.42080532,0.676830458,0.575724117,40,280,42,3,0.8177,"Stipa lessingiana"
"535",137,"42_1","Lohondor","Iran",1,"Eryngium","caucasicum",2.923333333,70.93682774,0.309768759,1.798805556,65,170,42,3,0.8177,"Eryngium caucasicum"
"536",137,"42_1","Lohondor","Iran",1,"Scabiosa","rotata",NA,NA,NA,NA,NA,NA,42,3,0.8177,"Scabiosa rotata"
"537",137,"42_1","Lohondor","Iran",1,"Centaurea","kotschyi",5.21,195.9622642,0.353333333,2.0772,18,42,42,3,0.8177,"Centaurea kotschyi"
"538",137,"42_1","Lohondor","Iran",1,"Teucrium","polium",1.29,113.75,0.413793103,0.195,11,4,42,3,0.8177,"Teucrium polium"
"539",137,"42_1","Lohondor","Iran",1,"Phlomis","herba-venti",6.721111111,114.6400647,0.442924523,5.752833333,31,130,42,3,0.8177,"Phlomis herba-venti"
"540",137,"42_1","Lohondor","Iran",1,"Paliurus","spina-christi",1.875,126.3909443,0.355687831,1.508475,142,33000,42,3,0.8177,"Paliurus spina-christi"
